track,artist,album,genres
Figaro,Madvillain,Madvillainy,"('Hip-Hop', 'hip hop')"
Gmail and the Restraining Orders,Death Grips,Gmail and the Restraining Orders,"('noise rock', 'fucked up music by fucked up people')"
Artificial Death in the West,Death Grips,No Love Deep Web,"('rap', 'electronic')"
Bass Rattle Stars Out the Sky,Death Grips,No Love Deep Web,"('Hip-Hop', 'rap')"
Pop,Death Grips,No Love Deep Web,"('rap', 'experimental hip-hop')"
Stockton,Death Grips,No Love Deep Web,"('rap', 'Hip-Hop')"
Deep Web,Death Grips,No Love Deep Web,"('rap', 'experimental hip-hop')"
Hunger Games,Death Grips,No Love Deep Web,"('rap', 'experimental')"
Whammy,Death Grips,No Love Deep Web,"('Hip-Hop', 'experimental hip-hop')"
Lock Your Doors,Death Grips,No Love Deep Web,"('rap', 'experimental hip-hop')"
World of Dogs,Death Grips,No Love Deep Web,"('experimental hip-hop', 'Hip-Hop')"
Black Dice,Death Grips,No Love Deep Web,"('rap', 'Hip-Hop')"
No Love,Death Grips,No Love Deep Web,"('experimental hip-hop', 'rap')"
Lil Boy,Death Grips,No Love Deep Web,"('rap', 'experimental hip-hop')"
Come Up and Get Me,Death Grips,No Love Deep Web,"('experimental hip-hop', 'Hip-Hop')"
Hacker,Death Grips,The Money Store,"('teaching bitches how to swim', 'gaga cant handle this shit')"
Bitch Please,Death Grips,The Money Store,"('Hip-Hop', 'rap')"
Fuck That,Death Grips,The Money Store,"('Hip-Hop', 'rap')"
Punk Weight,Death Grips,The Money Store,"('experimental hip-hop', 'experimental')"
The Cage,Death Grips,The Money Store,"('Hip-Hop', 'rap')"
System Blower,Death Grips,The Money Store,"('industrial hip-hop', 'Hip-Hop')"
Double Helix,Death Grips,The Money Store,"('Hip-Hop', 'rap')"
I've Seen Footage,Death Grips,The Money Store,"('Hip-Hop', 'experimental')"
Hustle Bones,Death Grips,The Money Store,"('Hip-Hop', 'experimental hip-hop')"
Blackjack,Death Grips,The Money Store,"('industrial hip-hop', 'Hip-Hop')"
Lost Boys,Death Grips,The Money Store,"('industrial hip-hop', 'rap')"
The Fever (Aye Aye),Death Grips,The Money Store,"('Hip-Hop', 'experimental')"
Get Got,Death Grips,The Money Store,"('Hip-Hop', 'experimental hip-hop')"
Whatever I Want (Fuck Who's Watching),Death Grips,Government Plates,"('Hip-Hop', 'rap')"
Bootleg (Dont need your help),Death Grips,Government Plates,"('instrumental hip-hop', 'Hip-Hop')"
Government Plates,Death Grips,Government Plates,"('Hip-Hop', 'experimental')"
Big House,Death Grips,Government Plates,"('experimental hip-hop', 'Hip-Hop')"
I'm Overflow,Death Grips,Government Plates,"('noise', 'instrumental')"
Feels Like a Wheel,Death Grips,Government Plates,"('wow', 'experimental hip-hop')"
Birds,Death Grips,Government Plates,"('mc ride hates birds', 'experimental hip hop')"
This Is Violence Now (Don't Get Me Wrong),Death Grips,Government Plates,"('noise', 'instrumental')"
Two Heavens,Death Grips,Government Plates,"('experimental hip-hop', 'Hip-Hop')"
Anne Bonny,Death Grips,Government Plates,"('pirate', 'experimental hip-hop')"
You Might Think He Loves You for Your Money But I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,Death Grips,Government Plates,"('meme rap', 'Noided')"
The Powers That B,Death Grips,The Powers That B,"('experimental', 'yeah im a cat typing on a computer what are you gonna do about it')"
PSS PSS,Death Grips,The Powers That B,"('have a sad cum bb', 'Hip-Hop')"
Why a Bitch Gotta Lie,Death Grips,The Powers That B,"('experimental', 'Hip-Hop')"
Turned Off,Death Grips,The Powers That B,"('smoking cigarettes in the shower', 'noise rock')"
Inanimate Sensation,Death Grips,The Powers That B,"('eeeeEEEEEEEEEEEEEh', 'experimental hip-hop')"
I Break Mirrors With My Face in the United States,Death Grips,The Powers That B,"('experimental', 'holy fucking shit im going to cum')"
Fuck Me Out,Death Grips,The Powers That B,"('Hip-Hop', 'experimental hip-hop')"
Have a Sad Cum BB,Death Grips,The Powers That B,"('Hip-Hop', 'experimental hip-hop')"
Say Hey Kid,Death Grips,The Powers That B,"('experimental hip-hop', 'dont it feel good to drive a bus')"
Black Quarterback,Death Grips,The Powers That B,"('Avant-Garde', 'experimental rap')"
Billy Not Really,Death Grips,The Powers That B,"('Avant-Garde', 'chaotic')"
Up My Sleeves,Death Grips,The Powers That B,"('experimental hip-hop', 'Hip-Hop')"
Bottomless Pit,Death Grips,Bottomless Pit,"('experimental', 'hard rock')"
80808,Death Grips,Bottomless Pit,"('rap', 'hiphop')"
Ring a Bell,Death Grips,Bottomless Pit,"('experimental hip hop', 'punk rock')"
Three Bedrooms in a Good Neighborhood,Death Grips,Bottomless Pit,"('favourite tracks', 'death grips')"
BB Poison,Death Grips,Bottomless Pit,"('punkrock', 'Punkrap')"
Houdini,Death Grips,Bottomless Pit,"('fuck is that a hairstyle', 'punk')"
Trash,Death Grips,Bottomless Pit,"('rap', 'Punkrap')"
Bubbles Buried In This Jungle,Death Grips,Bottomless Pit,"('fuck', 'experimental')"
Eh,Death Grips,Bottomless Pit,"('eh', 'Hip-Hop')"
Warping,Death Grips,Bottomless Pit,"('rap', 'banger')"
Spikes,Death Grips,Bottomless Pit,"('noise', 'electronic')"
Hot Head,Death Grips,Bottomless Pit,"('experimental', 'digital hardcore')"
Giving Bad People Good Ideas,Death Grips,Bottomless Pit,"('digital hardcore', 'experimental hip hop')"
Disappointed,Death Grips,Year of the Snitch,"('alternative', 'experimental')"
Outro,Death Grips,Year of the Snitch,"('instrumental', 'electronic')"
The Fear,Death Grips,Year of the Snitch,"('noise', 'nu jazz')"
Little Richard,Death Grips,Year of the Snitch,"('electronic', 'alternative')"
Dilemma,Death Grips,Year of the Snitch,"('experimental', 'rap rock')"
Streaky,Death Grips,Year of the Snitch,"('electronic', 'alternative')"
Shitshow,Death Grips,Year of the Snitch,"('punk rock', 'electropunk')"
Hahaha,Death Grips,Year of the Snitch,"('noise', 'electronic')"
The Horn Section,Death Grips,Year of the Snitch,"('alternative', 'experimental')"
Linda's in Custody,Death Grips,Year of the Snitch,"('electronic', 'alternative')"
Black Paint,Death Grips,Year of the Snitch,"('experimental', 'noise rock')"
Flies,Death Grips,Year of the Snitch,"('blackish green spirits of krakow', 'electronic')"
Death Grips Is Online,Death Grips,Year of the Snitch,"('cursed', 'experimental')"
Witches' Dance,Mercyful Fate,Time,"('heavy metal', 'metal')"
1985,Kvelertak,Nattesferd,"('black metal', 'kvelertak')"
1985,Kvelertak,Nattesferd,"('black metal', 'kvelertak')"
Porno Witch,Devil's Witches,Porno Witch,()
Blood Moon,Giraffe Tongue Orchestra,Broken Lines,()
Kerosene,Big Black,Atomizer (Remastered),"('noise rock', 'alternative')"
Vidage,1000mods,Super Van Vacation,"('Stoner Rock', 'psychedelic')"
Porpoise Head,Porno for Pyros,Good God's Urge,"('alternative rock', 'rock')"
Stone the Crow,Down,NOLA,"('Stoner Rock', 'stoner metal')"
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,Tiny Music...Songs From The Vatican Gift Shop,"('Grunge', 'alternative rock')"
This Is Shangrila,Mother Love Bone,Apple,"('Grunge', 'alternative rock')"
Crown Of Thorns,Mother Love Bone,Apple,"('Grunge', 'rock')"
Chloe Dancer/Crown of Thorns,Mother Love Bone,Mother Love Bone,"('Grunge', 'rock')"
Black Cat,Temple of the Dog,Black Cat,"('Silvertide',)"
Angel Of Fire,Temple of the Dog,Angel Of Fire,()
All Night Thing,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Four Walled World,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Your Savior,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Wooden Jesus,Temple of the Dog,Temple of the Dog,"('Grunge', 'alternative')"
Times Of Trouble,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Call Me A Dog,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Pushin' Forward Back,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Hunger Strike,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Say Hello 2 Heaven,Temple of the Dog,Temple of the Dog,"('Grunge', 'rock')"
Absolute Zero,Stone Sour,"House Of Gold & Bones, Part 1","('alternative metal', 'hard rock')"
From Can To Can't,Corey Taylor,Sound City - Real to Reel,"('Music Choice: Rock', 'Sound City Players')"
Sulfur,Slipknot,All Hope Is Gone,"('metal', 'Nu Metal')"
Bring Back the Plague,Cattle Decapitation,Death Atlas,"('Cattle-Decapitation-Bring-Back-The-Plague',)"
The Wolf I Feed,Napalm Death,Utilitarian,"('grindcore', 'death metal')"
Flesh and the Power It Holds,Death,The Sound of Perseverance - Reissue,"('death metal', 'progressive death metal')"
Make Them Suffer,Cannibal Corpse,Kill,"('death metal', 'Brutal Death Metal')"
No Remorse,Cannibal Corpse,Worm Infested,"('death metal', 'Brutal Death Metal')"
"Stripped, Raped, And Strangled",Cannibal Corpse,The Bleeding,"('Brutal Death Metal', 'Megadeth')"
Code of the Slashers,Cannibal Corpse,Red Before Black,"('death metal', 'metal')"
I Cum Blood,Cannibal Corpse,Tomb of the Mutilated,"('death metal', 'Brutal Death Metal')"
Evisceration Plague,Cannibal Corpse,Evisceration Plague,"('death metal', 'Brutal Death Metal')"
Scourge of Iron,Cannibal Corpse,Torture,"('death metal', 'metal')"
Hammer Smashed Face,Cannibal Corpse,Tomb of the Mutilated,"('death metal', 'Brutal Death Metal')"
Inhumane Harvest,Cannibal Corpse,Inhumane Harvest,()
Psychosocial,Slipknot,All Hope Is Gone,"('metal', 'Nu Metal')"
Before I Forget,Slipknot,Vol. 3: The Subliminal Verses,"('metal', 'Nu Metal')"
Sulfur,Slipknot,All Hope Is Gone,"('metal', 'Nu Metal')"
Mannequin,Wire,Pink Flag,"('post-punk', 'punk')"
Made of Stone,The Stone Roses,The Stone Roses,"('indie', 'britpop')"
"Uh-Oh, Love Comes to Town",Talking Heads,Talking Heads: 77,"('new wave', 'rock')"
Keep On Knocking,Death,…For The Whole World To See,"('proto-punk', 'Garage Rock')"
We Hate It When Our Friends Become Successful - 2014 Remaster,Morrissey,Your Arsenal (Definitive Master),()
There She Goes Again,The Velvet Underground,The Velvet Underground & Nico,"('rock', 'classic rock')"
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace","('rock', 'alternative rock')"
Once in a Lifetime,Talking Heads,Remain in Light,"('80s', 'new wave')"
Climbing Up the Walls,Radiohead,OK Computer,"('alternative', 'alternative rock')"
You Wish,Nightmares on Wax,In A Space Outta Sound,"('chillout', 'lounge')"
aisatsana [102],Aphex Twin,Syro,"('ambient', 'piano')"
Good Fortune,PJ Harvey,"Stories From the City, Stories From the Sea","('female vocalists', 'alternative')"
Schizophrenia,Sonic Youth,Sister,"('alternative', 'indie')"
Silence,Portishead,Third,"('trip-hop', 'electronic')"
All That We Perceive,Thievery Corporation,The Richest Man in Babylon,"('chillout', 'lounge')"
Black Swan,Thom Yorke,The Eraser,"('alternative', 'electronic')"
Buena,Morphine,Cure for Pain,"('alternative', 'rock')"
Down by the Water,PJ Harvey,To Bring You My Love,"('alternative', 'female vocalists')"
Undenied,Portishead,Portishead,"('trip-hop', 'trip hop')"
Breadcrumb Trail,Slint,Spiderland,"('post-rock', 'math rock')"
Alberto Balsalm,Aphex Twin,...I Care Because You Do,"('electronic', 'idm')"
Roygbiv,Boards of Canada,Music Has the Right to Children,"('electronic', 'ambient')"
